torneo,fecha,date,local,visitante,resultado
Clausura 08,5,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,6,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,6,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,6,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,6,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,6,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,6,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,6,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,6,10/02/2008,Central,Boca,1 - 1
Clausura 08,6,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,6,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,7,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,7,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,7,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,7,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,7,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,7,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,7,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,7,10/02/2008,Central,Boca,1 - 1
Clausura 08,7,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,7,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,8,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,8,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,8,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,8,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,8,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,8,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,8,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,8,10/02/2008,Central,Boca,1 - 1
Clausura 08,8,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,8,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,9,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,9,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,9,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,9,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,9,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,9,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,9,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,9,10/02/2008,Central,Boca,1 - 1
Clausura 08,9,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,9,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,10,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,10,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,10,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,10,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,10,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,10,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,10,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,10,10/02/2008,Central,Boca,1 - 1
Clausura 08,10,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,10,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,11,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,11,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,11,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,11,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,11,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,11,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,11,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,11,10/02/2008,Central,Boca,1 - 1
Clausura 08,11,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,11,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,12,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,12,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,12,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,12,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,12,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,12,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,12,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,12,10/02/2008,Central,Boca,1 - 1
Clausura 08,12,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,12,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,13,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,13,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,13,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,13,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,13,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,13,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,13,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,13,10/02/2008,Central,Boca,1 - 1
Clausura 08,13,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,13,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,14,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,14,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,14,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,14,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,14,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,14,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,14,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,14,10/02/2008,Central,Boca,1 - 1
Clausura 08,14,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,14,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,15,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,15,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,15,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,15,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,15,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,15,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,15,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,15,10/02/2008,Central,Boca,1 - 1
Clausura 08,15,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,15,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,16,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,16,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,16,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,16,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,16,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,16,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,16,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,16,10/02/2008,Central,Boca,1 - 1
Clausura 08,16,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,16,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,17,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,17,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,17,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,17,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,17,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,17,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,17,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,17,10/02/2008,Central,Boca,1 - 1
Clausura 08,17,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,17,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,18,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,18,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,18,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,18,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,18,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,18,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,18,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,18,10/02/2008,Central,Boca,1 - 1
Clausura 08,18,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,18,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,19,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,19,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,19,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,19,09/02/2008,Tigre,Gimnasia LP,2 - 1
